date,campaign,adset,ad,spend,reach,impressions,clicks,link_click,purchase,purchase_value,frequency,cpc,cpm,ctr
2026-08-21,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,8641,221,352,2,2,0,0,1.593,4320,24548,0.568
2026-08-22,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,7831,216,289,6,5,0,0,1.338,1305,27097,2.076
2026-08-23,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,12422,310,492,11,9,1,19008,1.587,1129,25248,2.236
2026-08-24,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,11959,356,583,13,11,2,81520,1.638,920,20513,2.23
2026-08-25,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,10036,312,410,3,3,0,0,1.314,3345,24478,0.732
2026-08-26,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,7300,277,399,8,7,1,25880,1.44,912,18296,2.005
2026-08-27,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,5733,301,395,4,3,0,0,1.312,1433,14514,1.013
2026-08-28,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,1992,91,103,1,0,0,0,1.132,1992,19340,0.971
2026-08-31,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,0,0,0,0,0,0,0,0.0,0,0,0
2026-09-01,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,0,0,0,0,0,0,0,0.0,0,0,0
2026-09-03,구매 전환_withmaje_0808,광고세트_1-2_0808,밀크_1-2A-2_판테놀_0808,0,0,0,0,0,0,0,0.0,0,0,0
2026-08-21,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,6830,202,246,2,2,0,0,1.218,3415,27764,0.813
2026-08-22,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,4075,169,209,7,6,0,0,1.237,582,19498,3.349
2026-08-23,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,8099,261,302,8,7,1,25880,1.157,1012,26818,2.649
2026-08-24,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,7694,211,256,5,4,0,0,1.213,1539,30055,1.953
2026-08-25,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,8122,253,291,5,4,1,54450,1.15,1624,27911,1.718
2026-08-26,구매 전환_withmaje_0808,광고세트_1-3_0808,밀크_1-3A-1_약국입점_0808,6076,205,256,6,4,1,25880,1.249,1013,23734,2.344
